Time,Temperature1 (°C),Temperature2 (°C)
2025-06-26 12:15:26,98.81,44.75
2025-06-26 12:15:27,98.81,44.75
2025-06-26 12:15:28,98.81,44.69
2025-06-26 12:15:30,98.87,44.69
2025-06-26 12:15:32,98.87,44.69
2025-06-26 12:15:34,98.87,44.63
2025-06-26 12:15:35,98.87,44.63
2025-06-26 12:15:37,98.87,44.63
2025-06-26 12:15:39,98.87,44.63
2025-06-26 12:15:41,98.87,44.56
2025-06-26 12:15:42,98.87,44.56
2025-06-26 12:15:44,98.94,44.5
2025-06-26 12:15:46,98.87,44.5
2025-06-26 12:15:48,98.87,44.44
2025-06-26 12:15:49,98.94,44.44
2025-06-26 12:15:51,98.94,44.44
2025-06-26 12:15:53,98.87,44.44
2025-06-26 12:15:55,98.94,44.38
2025-06-26 12:15:56,98.94,44.38
2025-06-26 12:15:58,98.94,44.38
2025-06-26 12:16:00,98.94,44.38
2025-06-26 12:16:02,98.94,44.38
2025-06-26 12:16:03,98.94,44.31
2025-06-26 12:16:05,98.94,44.31
2025-06-26 12:16:07,98.94,44.25
2025-06-26 12:16:09,98.94,44.25
2025-06-26 12:16:10,98.94,44.25
2025-06-26 12:16:12,98.94,44.19
2025-06-26 12:16:14,98.94,44.19
2025-06-26 12:16:16,98.94,44.19
2025-06-26 12:16:17,98.94,44.13
2025-06-26 12:16:19,98.94,44.19
2025-06-26 12:16:21,98.94,44.13
2025-06-26 12:16:23,98.94,44.13
2025-06-26 12:16:24,98.94,44.06
2025-06-26 12:16:26,98.94,44.06
2025-06-26 12:16:28,98.94,44.06
2025-06-26 12:16:30,98.94,44.0
2025-06-26 12:16:31,98.94,44.0
2025-06-26 12:16:33,98.94,43.94
2025-06-26 12:16:35,98.94,43.94
2025-06-26 12:16:37,98.94,43.88
2025-06-26 12:16:38,98.94,43.88
2025-06-26 12:16:40,98.94,43.88
2025-06-26 12:16:42,98.94,43.81
2025-06-26 12:16:43,98.94,43.81
2025-06-26 12:16:45,98.94,43.75
2025-06-26 12:16:47,98.94,43.69
2025-06-26 12:16:49,98.94,43.69
2025-06-26 12:16:50,98.94,43.63
2025-06-26 12:16:52,98.94,-127.0
2025-06-26 12:16:54,98.94,43.63
2025-06-26 12:16:56,98.94,43.56
2025-06-26 12:16:57,98.94,43.56
2025-06-26 12:16:59,98.94,43.5
2025-06-26 12:17:01,98.94,43.5
2025-06-26 12:17:03,98.94,43.5
2025-06-26 12:17:04,98.94,43.44
2025-06-26 12:17:06,99.0,43.44
2025-06-26 12:17:08,98.94,43.38
2025-06-26 12:17:10,98.94,43.38
2025-06-26 12:17:11,99.0,43.38
2025-06-26 12:17:13,99.0,43.31
2025-06-26 12:17:15,99.0,43.31
2025-06-26 12:17:17,99.0,43.25
2025-06-26 12:17:18,98.94,43.25
2025-06-26 12:17:20,98.94,43.25
2025-06-26 12:17:22,99.0,43.25
2025-06-26 12:17:24,99.0,43.19
2025-06-26 12:17:25,99.0,43.13
2025-06-26 12:17:27,98.94,43.13
2025-06-26 12:17:29,99.0,43.13
2025-06-26 12:17:31,98.94,43.13
2025-06-26 12:17:32,98.94,43.06
2025-06-26 12:17:34,98.94,43.06
2025-06-26 12:17:36,98.94,43.0
2025-06-26 12:17:38,98.94,42.94
2025-06-26 12:17:39,98.94,42.94
2025-06-26 12:17:41,99.0,42.94
2025-06-26 12:17:43,98.94,42.94
2025-06-26 12:17:45,99.0,42.88
2025-06-26 12:17:46,99.0,42.88
2025-06-26 12:17:48,99.0,42.81
2025-06-26 12:17:50,99.0,42.81
2025-06-26 12:17:52,99.0,42.81
2025-06-26 12:17:53,98.94,42.75
2025-06-26 12:17:55,99.0,42.75
2025-06-26 12:17:57,99.0,42.69
2025-06-26 12:17:59,98.94,42.69
2025-06-26 12:18:00,98.94,42.69
2025-06-26 12:18:02,98.94,42.63
2025-06-26 12:18:04,99.0,42.56
2025-06-26 12:18:06,99.0,42.56
2025-06-26 12:18:07,98.94,42.5
2025-06-26 12:18:09,98.94,42.5
2025-06-26 12:18:11,99.0,42.5
2025-06-26 12:18:13,99.0,42.44
2025-06-26 12:18:14,99.0,42.38
2025-06-26 12:18:16,98.94,42.38
2025-06-26 12:18:18,98.94,42.31
2025-06-26 12:18:20,99.0,42.38
2025-06-26 12:18:21,99.0,42.31
2025-06-26 12:18:23,98.94,42.25
2025-06-26 12:18:25,98.94,42.25
2025-06-26 12:18:27,98.94,42.19
2025-06-26 12:18:28,98.94,42.19
2025-06-26 12:18:30,99.0,42.19
2025-06-26 12:18:32,98.94,42.13
2025-06-26 12:18:34,98.94,42.13
2025-06-26 12:18:35,99.0,42.06
2025-06-26 12:18:37,99.0,42.06
2025-06-26 12:18:39,99.0,42.0
2025-06-26 12:18:41,98.94,41.94
2025-06-26 12:18:42,99.0,41.94
2025-06-26 12:18:44,98.94,41.94
2025-06-26 12:18:46,98.94,41.88
2025-06-26 12:18:48,98.94,41.88
2025-06-26 12:18:49,98.94,41.81
2025-06-26 12:18:51,98.94,41.75
2025-06-26 12:18:53,98.94,41.75
2025-06-26 12:18:55,98.94,41.75
2025-06-26 12:18:56,99.0,41.69
2025-06-26 12:18:58,99.0,41.63
2025-06-26 12:19:00,99.0,41.69
2025-06-26 12:19:01,99.0,41.63
2025-06-26 12:19:03,99.0,41.56
2025-06-26 12:19:05,98.94,41.56
2025-06-26 12:19:07,99.0,41.56
2025-06-26 12:19:08,99.0,41.5
2025-06-26 12:19:10,99.0,41.5
2025-06-26 12:19:12,99.0,41.5
2025-06-26 12:19:14,99.0,41.44
2025-06-26 12:19:15,99.0,41.44
2025-06-26 12:19:17,99.0,41.38
2025-06-26 12:19:19,99.0,41.31
2025-06-26 12:19:21,99.0,41.31
2025-06-26 12:19:22,99.0,41.25
2025-06-26 12:19:24,99.0,41.25
2025-06-26 12:19:26,99.0,41.19
2025-06-26 12:19:28,98.94,41.19
2025-06-26 12:19:29,99.0,41.13
2025-06-26 12:19:31,99.0,41.06
2025-06-26 12:19:33,99.0,41.13
2025-06-26 12:19:35,98.94,41.06
2025-06-26 12:19:36,99.0,41.06
2025-06-26 12:19:38,98.94,41.0
2025-06-26 12:19:40,98.94,41.0
2025-06-26 12:19:42,99.0,40.94
2025-06-26 12:19:43,98.94,40.94
2025-06-26 12:19:45,99.0,40.94
2025-06-26 12:19:47,99.0,40.88
2025-06-26 12:19:49,98.94,40.81
2025-06-26 12:19:50,99.0,40.81
2025-06-26 12:19:52,98.94,40.81
2025-06-26 12:19:54,99.0,40.75
2025-06-26 12:19:56,99.0,40.75
2025-06-26 12:19:57,99.0,40.69
2025-06-26 12:19:59,99.0,40.69
2025-06-26 12:20:01,99.0,40.63
2025-06-26 12:20:03,99.0,40.63
2025-06-26 12:20:04,98.94,40.63
2025-06-26 12:20:06,99.0,40.56
2025-06-26 12:20:08,99.0,40.5
2025-06-26 12:20:10,98.94,40.5
2025-06-26 12:20:11,99.0,40.44
2025-06-26 12:20:13,99.0,40.44
2025-06-26 12:20:15,99.0,40.38
2025-06-26 12:20:17,99.0,40.38
2025-06-26 12:20:18,98.94,-127.0
2025-06-26 12:20:20,99.0,40.31
2025-06-26 12:20:22,98.94,40.31
2025-06-26 12:20:24,98.94,40.25
2025-06-26 12:20:25,98.94,40.25
2025-06-26 12:20:27,98.94,40.19
2025-06-26 12:20:29,99.0,40.19
2025-06-26 12:20:31,99.0,-127.0
2025-06-26 12:20:32,99.0,-127.0
2025-06-26 12:20:34,99.0,40.06
2025-06-26 12:20:36,98.94,40.06
2025-06-26 12:20:38,98.94,40.0
2025-06-26 12:20:39,98.94,39.94
2025-06-26 12:20:41,98.94,39.94
2025-06-26 12:20:43,98.94,39.88
2025-06-26 12:20:45,98.94,39.88
2025-06-26 12:20:46,98.94,39.88
2025-06-26 12:20:48,98.94,39.81
2025-06-26 12:20:50,98.94,39.81
2025-06-26 12:20:52,98.94,39.75
2025-06-26 12:20:53,98.94,39.75
2025-06-26 12:20:55,98.94,39.69
2025-06-26 12:20:57,98.94,39.63
2025-06-26 12:20:59,98.94,39.63
2025-06-26 12:21:00,98.94,39.56
2025-06-26 12:21:02,98.94,39.56
2025-06-26 12:21:04,98.94,39.5
2025-06-26 12:21:06,98.94,39.5
2025-06-26 12:21:07,98.94,39.44
2025-06-26 12:21:09,98.94,39.44
2025-06-26 12:21:11,98.94,39.44
2025-06-26 12:21:13,98.94,39.31
2025-06-26 12:21:14,98.94,39.31
2025-06-26 12:21:16,98.94,39.25
2025-06-26 12:21:18,98.94,39.25
2025-06-26 12:21:19,98.94,39.19
2025-06-26 12:21:21,98.94,39.19
2025-06-26 12:21:23,98.94,39.19
2025-06-26 12:21:25,98.94,39.13
2025-06-26 12:21:26,98.94,39.06
2025-06-26 12:21:28,98.94,39.06
2025-06-26 12:21:30,98.94,39.0
2025-06-26 12:21:32,98.94,39.0
2025-06-26 12:21:33,98.94,39.0
2025-06-26 12:21:35,98.94,38.94
2025-06-26 12:21:37,98.94,38.94
2025-06-26 12:21:39,98.94,38.88
2025-06-26 12:21:40,99.0,38.88
2025-06-26 12:21:42,98.94,38.81
2025-06-26 12:21:44,99.0,38.81
2025-06-26 12:21:46,98.94,-127.0
2025-06-26 12:21:47,99.0,38.75
2025-06-26 12:21:49,99.0,38.69
2025-06-26 12:21:51,99.0,38.69
2025-06-26 12:21:53,99.0,38.63
2025-06-26 12:21:54,99.0,38.56
2025-06-26 12:21:56,99.0,38.56
2025-06-26 12:21:58,99.0,38.56
2025-06-26 12:22:00,99.0,38.56
2025-06-26 12:22:01,99.0,38.5
2025-06-26 12:22:03,99.0,38.44
2025-06-26 12:22:05,99.0,38.44
2025-06-26 12:22:07,99.0,38.38
2025-06-26 12:22:08,99.0,38.38
2025-06-26 12:22:10,99.0,38.31
2025-06-26 12:22:12,99.0,38.31
2025-06-26 12:22:14,99.0,38.25
2025-06-26 12:22:15,99.0,38.19
2025-06-26 12:22:17,99.0,38.25
2025-06-26 12:22:19,99.0,38.19
2025-06-26 12:22:21,99.0,38.19
2025-06-26 12:22:22,99.0,38.13
2025-06-26 12:22:24,99.0,38.13
2025-06-26 12:22:26,99.0,38.06
2025-06-26 12:22:28,99.0,38.0
2025-06-26 12:22:29,99.0,38.0
2025-06-26 12:22:31,99.0,38.0
2025-06-26 12:22:33,99.0,37.94
2025-06-26 12:22:35,99.0,37.94
2025-06-26 12:22:36,98.94,37.88
2025-06-26 12:22:38,99.0,37.88
2025-06-26 12:22:40,99.0,37.81
2025-06-26 12:22:42,99.0,37.81
2025-06-26 12:22:43,99.0,37.75
2025-06-26 12:22:45,99.0,37.75
2025-06-26 12:22:47,98.94,37.69
2025-06-26 12:22:49,99.0,37.63
2025-06-26 12:22:50,99.0,37.63
2025-06-26 12:22:52,99.0,37.63
2025-06-26 12:22:54,99.0,37.63
2025-06-26 12:22:56,99.0,37.56
2025-06-26 12:22:57,98.94,37.56
2025-06-26 12:22:59,98.94,37.5
2025-06-26 12:23:01,99.0,37.5
2025-06-26 12:23:03,98.94,37.5
2025-06-26 12:23:04,99.0,37.44
2025-06-26 12:23:06,98.94,37.38
2025-06-26 12:23:08,98.94,37.38
2025-06-26 12:23:10,98.94,37.31
2025-06-26 12:23:11,98.94,37.31
2025-06-26 12:23:13,98.94,37.31
2025-06-26 12:23:15,98.94,37.25
2025-06-26 12:23:17,98.94,37.25
2025-06-26 12:23:18,98.94,37.19
2025-06-26 12:23:20,98.94,37.19
2025-06-26 12:23:22,98.94,37.13
2025-06-26 12:23:24,98.94,37.13
2025-06-26 12:23:25,98.94,37.13
2025-06-26 12:23:27,98.94,37.06
2025-06-26 12:23:29,98.94,37.06
2025-06-26 12:23:31,98.94,37.0
2025-06-26 12:23:32,98.94,37.0
2025-06-26 12:23:34,98.94,36.94
2025-06-26 12:23:36,98.94,36.94
2025-06-26 12:23:37,98.94,36.88
2025-06-26 12:23:39,98.94,36.88
2025-06-26 12:23:41,98.94,36.81
2025-06-26 12:23:43,98.94,36.81
2025-06-26 12:23:44,98.94,36.75
2025-06-26 12:23:46,98.94,36.75
2025-06-26 12:23:48,98.94,36.75
2025-06-26 12:23:50,98.94,36.69
2025-06-26 12:23:51,98.94,36.69
2025-06-26 12:23:53,98.94,36.63
2025-06-26 12:23:55,98.94,36.63
2025-06-26 12:23:57,98.94,36.56
2025-06-26 12:23:58,98.94,36.56
2025-06-26 12:24:00,98.94,36.5
2025-06-26 12:24:02,98.94,36.5
2025-06-26 12:24:04,98.94,36.5
2025-06-26 12:24:05,98.94,36.5
2025-06-26 12:24:07,98.94,36.44
2025-06-26 12:24:09,98.94,36.44
2025-06-26 12:24:11,98.94,36.38
2025-06-26 12:24:12,98.94,36.38
2025-06-26 12:24:14,98.94,36.31
2025-06-26 12:24:16,98.94,36.31
2025-06-26 12:24:18,98.94,36.31
2025-06-26 12:24:19,98.94,36.25
2025-06-26 12:24:21,98.94,36.25
2025-06-26 12:24:23,98.94,36.19
2025-06-26 12:24:25,98.94,36.19
2025-06-26 12:24:26,98.94,36.13
2025-06-26 12:24:28,98.94,36.13
2025-06-26 12:24:30,98.94,36.06
2025-06-26 12:24:32,98.94,36.06
2025-06-26 12:24:33,98.94,36.13
2025-06-26 12:24:35,98.94,36.0
2025-06-26 12:24:37,98.94,36.0
2025-06-26 12:24:39,98.94,36.0
2025-06-26 12:24:40,98.94,35.94
2025-06-26 12:24:42,98.94,35.94
2025-06-26 12:24:44,98.94,35.88
2025-06-26 12:24:46,98.94,35.88
2025-06-26 12:24:47,98.94,35.81
2025-06-26 12:24:49,98.94,35.81
2025-06-26 12:24:51,98.94,35.75
2025-06-26 12:24:53,98.94,35.75
2025-06-26 12:24:54,98.94,35.75
2025-06-26 12:24:56,98.94,35.75
2025-06-26 12:24:58,98.94,35.69
2025-06-26 12:25:00,98.94,35.69
2025-06-26 12:25:01,98.94,35.69
2025-06-26 12:25:03,98.94,35.63
2025-06-26 12:25:05,98.94,35.63
2025-06-26 12:25:07,98.94,35.56
2025-06-26 12:25:08,98.94,35.56
2025-06-26 12:25:10,98.94,35.56
2025-06-26 12:25:12,98.94,35.5
