Time,Temperature1 (°C),Temperature2 (°C)
2025-06-26 10:16:49,24.37,24.37
2025-06-26 10:16:51,24.37,24.37
2025-06-26 10:16:52,24.31,24.31
2025-06-26 10:16:54,24.31,24.31
2025-06-26 10:16:56,24.31,24.31
2025-06-26 10:16:58,24.31,24.31
2025-06-26 10:16:59,24.37,24.37
2025-06-26 10:17:01,24.31,24.31
2025-06-26 10:17:03,24.31,24.31
2025-06-26 10:17:04,24.31,24.31
2025-06-26 10:17:06,24.37,24.37
2025-06-26 10:17:07,24.37,24.37
2025-06-26 10:17:09,-127.0,24.37
2025-06-26 10:17:11,24.31,24.31
2025-06-26 10:17:13,24.31,24.31
2025-06-26 10:17:14,24.31,24.31
2025-06-26 10:17:16,24.31,24.31
2025-06-26 10:17:18,24.31,24.31
2025-06-26 10:17:19,24.31,24.31
2025-06-26 10:17:21,24.31,24.31
2025-06-26 10:17:23,24.31,24.31
2025-06-26 10:17:25,24.31,24.31
2025-06-26 10:17:26,24.31,24.31
2025-06-26 10:17:28,24.31,24.31
2025-06-26 10:17:30,24.25,24.25
2025-06-26 10:17:32,24.31,24.31
2025-06-26 10:17:33,24.31,24.31
2025-06-26 10:17:35,24.31,24.31
2025-06-26 10:17:37,24.31,24.31
2025-06-26 10:17:39,24.31,24.31
2025-06-26 10:17:40,24.31,24.31
2025-06-26 10:17:42,24.31,24.31
2025-06-26 10:17:44,24.31,24.31
2025-06-26 10:17:46,24.31,24.31
2025-06-26 10:17:47,24.31,24.31
2025-06-26 10:17:49,24.31,24.31
2025-06-26 10:17:51,24.31,24.31
2025-06-26 10:17:52,24.31,24.31
2025-06-26 10:17:54,24.31,24.31
2025-06-26 10:17:56,24.31,24.31
2025-06-26 10:17:58,24.31,24.31
2025-06-26 10:17:59,24.37,24.37
2025-06-26 10:18:01,24.31,24.31
2025-06-26 10:18:03,24.37,24.37
2025-06-26 10:18:05,24.37,24.37
2025-06-26 10:18:06,24.37,24.37
2025-06-26 10:18:08,24.37,24.37
2025-06-26 10:18:09,24.37,24.37
2025-06-26 10:18:11,24.31,24.31
2025-06-26 10:18:13,24.31,24.31
2025-06-26 10:18:15,24.31,24.31
2025-06-26 10:18:16,24.31,24.31
2025-06-26 10:18:17,24.37,24.37
2025-06-26 10:18:19,24.31,24.31
2025-06-26 10:18:21,24.31,24.31
2025-06-26 10:18:23,24.31,24.31
2025-06-26 10:18:24,24.31,24.31
2025-06-26 10:18:26,24.37,24.37
2025-06-26 10:18:28,24.37,24.37
2025-06-26 10:18:30,24.31,24.31
2025-06-26 10:18:31,24.37,24.37
2025-06-26 10:18:33,24.31,24.31
2025-06-26 10:18:35,24.31,24.31
2025-06-26 10:18:37,24.37,24.37
2025-06-26 10:18:38,24.31,24.31
2025-06-26 10:18:40,24.31,24.31
2025-06-26 10:18:42,24.37,24.37
2025-06-26 10:18:44,24.37,24.37
2025-06-26 10:18:45,24.31,24.31
2025-06-26 10:18:47,24.31,24.31
2025-06-26 10:18:49,24.37,24.37
2025-06-26 10:18:51,-127.0,24.31
2025-06-26 10:18:52,24.31,24.31
2025-06-26 10:18:54,24.31,24.31
2025-06-26 10:18:56,24.31,24.31
2025-06-26 10:18:57,24.31,24.31
2025-06-26 10:18:59,24.31,24.31
2025-06-26 10:19:00,24.37,24.37
2025-06-26 10:19:02,24.31,24.31
2025-06-26 10:19:04,24.31,24.31
2025-06-26 10:19:06,24.37,24.37
2025-06-26 10:19:07,24.31,24.31
2025-06-26 10:19:09,24.31,24.31
2025-06-26 10:19:11,24.37,24.37
2025-06-26 10:19:12,24.31,24.31
2025-06-26 10:19:14,24.31,24.31
2025-06-26 10:19:16,24.31,24.31
2025-06-26 10:19:17,24.31,24.31
2025-06-26 10:19:19,24.31,24.31
2025-06-26 10:19:21,24.31,24.31
2025-06-26 10:19:23,24.31,24.31
2025-06-26 10:19:24,24.31,24.31
2025-06-26 10:19:26,24.31,24.31
