Time,Temp1,Temp2,FlowRate,Heater,Cooler,Setpoint,PumpSpeed
2025-07-19 15:39:27.661775,41.19,41.94,3.7,0.0,100.0,36.0,255.0
2025-07-19 15:39:29.279614,41.19,41.94,9.7,0.0,33.71,36.0,255.0
2025-07-19 15:39:30.893334,41.13,41.88,2.7,0.0,32.56,36.0,0.0
2025-07-19 15:39:32.408836,41.13,41.81,5.09,21.26,0.0,45.0,255.0
2025-07-19 15:39:33.924071,41.19,41.81,3.83,13.24,0.0,45.0,3.0
2025-07-19 15:39:35.439750,41.25,41.81,6.09,13.19,0.0,45.0,255.0
2025-07-19 15:39:36.955075,41.25,41.75,9.43,14.16,0.0,45.0,255.0
2025-07-19 15:39:38.470449,41.38,41.75,3.57,13.05,0.0,45.0,0.0
2025-07-19 15:39:40.000256,41.44,41.81,6.65,12.86,0.0,45.0,255.0
2025-07-19 15:39:41.501365,41.44,41.88,8.09,13.12,0.0,45.0,255.0
2025-07-19 15:39:43.016834,41.56,42.0,7.22,11.74,0.0,45.0,159.0
2025-07-19 15:39:44.532269,41.63,42.19,5.09,11.31,0.0,45.0,0.0
2025-07-19 15:39:46.047935,41.69,42.31,6.74,11.3,0.0,45.0,255.0
2025-07-19 15:39:47.559078,41.81,42.44,2.7,10.55,0.0,45.0,0.0
2025-07-19 15:39:49.074506,41.94,42.63,5.39,9.67,0.0,45.0,255.0
2025-07-19 15:39:50.589961,42.13,42.81,10.26,8.65,0.0,45.0,255.0
2025-07-19 15:39:52.105105,42.25,43.06,7.83,7.95,0.0,45.0,85.0
2025-07-19 15:39:53.616774,42.44,43.25,5.09,7.24,0.0,45.0,0.0
2025-07-19 15:39:55.132312,42.63,43.5,9.0,6.09,0.0,45.0,255.0
2025-07-19 15:39:56.649425,42.81,43.75,5.04,5.25,0.0,45.0,0.0
2025-07-19 15:39:58.154964,43.06,44.0,5.35,3.97,0.0,45.0,165.0
2025-07-19 15:39:59.670392,43.31,44.25,5.7,3.0,0.0,45.0,180.0
2025-07-19 15:40:01.192388,43.5,44.5,5.7,2.45,0.0,45.0,159.0
2025-07-19 15:40:02.701236,43.69,44.69,5.83,2.03,0.0,45.0,173.0
2025-07-19 15:40:04.212770,43.94,44.94,5.65,0.42,0.0,45.0,146.0
2025-07-19 15:40:05.830711,44.13,45.25,5.48,0.0,0.58,45.0,139.0
2025-07-19 15:40:07.443986,44.38,45.5,5.22,0.0,1.57,45.0,125.0
2025-07-19 15:40:09.057591,44.56,45.75,4.61,0.0,2.14,45.0,80.0
2025-07-19 15:40:10.671911,44.81,46.0,5.91,0.0,3.46,45.0,250.0
2025-07-19 15:40:12.285600,45.06,46.19,7.09,0.0,4.04,45.0,255.0
2025-07-19 15:40:13.903318,45.31,46.38,9.13,0.0,4.93,45.0,255.0
2025-07-19 15:40:15.516864,45.56,46.56,7.26,0.0,5.82,45.0,102.0
2025-07-19 15:40:17.131105,45.81,46.63,9.96,0.0,5.85,45.0,255.0
2025-07-19 15:40:18.744335,46.0,46.69,9.09,0.0,6.06,45.0,236.0
2025-07-19 15:40:20.358460,46.19,46.75,5.43,0.0,6.59,45.0,0.0
2025-07-19 15:40:21.972048,46.31,46.81,7.13,0.0,6.69,45.0,255.0
2025-07-19 15:40:23.585389,46.44,46.81,4.13,0.0,6.66,45.0,0.0
2025-07-19 15:40:25.199638,46.5,46.81,10.83,0.0,6.5,45.0,255.0
2025-07-19 15:40:26.817056,46.56,46.81,10.74,0.0,6.66,45.0,255.0
2025-07-19 15:40:28.431236,46.63,46.81,6.22,0.0,6.82,45.0,0.0
2025-07-19 15:40:30.041015,46.69,46.81,6.35,0.0,6.98,45.0,199.0
2025-07-19 15:40:31.658326,46.69,46.81,6.0,0.0,6.7,45.0,155.0
2025-07-19 15:40:33.272599,46.69,46.81,4.57,0.0,6.74,45.0,32.0
2025-07-19 15:40:34.886294,46.69,46.75,7.22,0.0,6.33,45.0,255.0
2025-07-19 15:40:36.500035,46.69,46.75,8.57,0.0,6.68,45.0,255.0
2025-07-19 15:40:38.113492,46.69,46.69,8.09,0.0,6.28,45.0,229.0
2025-07-19 15:40:39.731554,46.69,46.69,8.83,0.0,6.62,45.0,255.0
2025-07-19 15:40:41.341316,46.69,46.69,5.74,0.0,6.66,45.0,0.0
2025-07-19 15:40:42.955139,46.69,46.63,6.78,0.0,6.25,45.0,255.0
2025-07-19 15:40:44.572755,46.69,46.63,7.48,0.0,6.6,45.0,255.0
2025-07-19 15:40:46.186695,46.69,46.63,9.26,0.0,6.63,45.0,255.0
2025-07-19 15:40:47.800426,46.63,46.56,8.7,0.0,5.79,45.0,249.0
2025-07-19 15:40:49.413787,46.63,46.56,5.26,0.0,6.45,45.0,0.0
2025-07-19 15:40:51.027833,46.63,46.56,11.04,0.0,6.48,45.0,255.0
2025-07-19 15:40:52.685032,46.56,46.56,6.91,0.0,6.07,45.0,0.0
2025-07-19 15:40:54.255496,46.56,46.5,8.48,0.0,5.98,45.0,255.0
2025-07-19 15:40:55.869248,46.56,46.5,7.96,0.0,6.32,45.0,226.0
2025-07-19 15:40:57.482902,46.56,46.44,3.74,0.0,5.91,45.0,0.0
2025-07-19 15:40:59.092630,46.5,46.44,3.7,0.0,5.82,45.0,95.0
2025-07-19 15:41:00.710010,46.5,46.44,6.78,0.0,6.16,45.0,255.0
2025-07-19 15:41:02.324080,46.44,46.38,6.57,0.0,5.31,45.0,193.0
2025-07-19 15:41:03.943722,46.44,46.38,9.09,0.0,5.96,45.0,255.0
2025-07-19 15:41:05.551592,46.44,46.38,7.96,0.0,5.99,45.0,189.0
2025-07-19 15:41:07.169401,46.44,46.31,7.87,0.0,5.58,45.0,253.0
2025-07-19 15:41:08.779091,46.38,46.31,5.22,0.0,5.48,45.0,0.0
2025-07-19 15:41:10.392884,46.38,46.31,9.91,0.0,5.82,45.0,255.0
2025-07-19 15:41:12.010943,46.38,46.25,10.04,0.0,5.41,45.0,255.0
2025-07-19 15:41:13.624736,46.31,46.25,6.74,0.0,5.31,45.0,8.0
2025-07-19 15:41:15.238263,46.31,46.25,10.52,0.0,5.65,45.0,255.0
2025-07-19 15:41:16.852024,46.31,46.19,5.13,0.0,5.24,45.0,0.0
2025-07-19 15:41:18.461558,46.25,46.19,3.04,0.0,5.14,45.0,0.0
2025-07-19 15:41:20.075010,46.25,46.19,4.74,0.0,5.48,45.0,250.0
2025-07-19 15:41:21.689181,46.25,46.13,7.78,0.0,5.06,45.0,255.0
2025-07-19 15:41:23.302621,46.19,46.13,4.78,0.0,4.96,45.0,0.0
2025-07-19 15:41:24.916547,46.19,46.13,10.87,0.0,5.3,45.0,255.0
2025-07-19 15:41:26.530163,46.19,46.06,7.48,0.0,4.88,45.0,34.0
2025-07-19 15:41:28.147848,46.13,46.06,6.09,0.0,4.78,45.0,109.0
2025-07-19 15:41:29.761970,46.13,46.06,6.43,0.0,5.11,45.0,231.0
2025-07-19 15:41:31.375468,46.13,46.0,5.57,0.0,4.7,45.0,122.0
2025-07-19 15:41:32.989436,46.06,46.0,5.57,0.0,4.59,45.0,176.0
2025-07-19 15:41:34.603476,46.06,46.0,4.78,0.0,4.92,45.0,97.0
2025-07-19 15:41:36.217200,46.0,45.94,7.83,0.0,4.07,45.0,255.0
2025-07-19 15:41:37.834344,46.0,45.94,7.09,0.0,4.71,45.0,188.0
2025-07-19 15:41:39.444616,46.0,45.94,5.57,0.0,4.73,45.0,82.0
2025-07-19 15:41:41.062293,45.94,45.88,7.7,0.0,3.88,45.0,255.0
2025-07-19 15:41:42.671981,45.94,45.88,5.74,0.0,4.52,45.0,62.0
2025-07-19 15:41:44.289673,45.94,45.81,5.61,0.0,4.1,45.0,171.0
2025-07-19 15:41:45.903335,45.88,45.81,7.09,0.0,3.99,45.0,255.0
2025-07-19 15:41:47.521246,45.88,45.81,10.74,0.0,4.32,45.0,255.0
2025-07-19 15:41:49.156601,45.88,45.81,10.43,0.0,4.34,45.0,255.0
2025-07-19 15:41:50.748647,45.88,45.75,5.74,0.0,3.92,45.0,0.0
